Mean,Variance,Kurtosis,Condition
0.000977592,0.009290824,0.240588734,Broken
6.17696E-05,0.009371851,0.295855948,Broken
9.77739E-05,0.009353149,0.324285513,Broken
0.000606574,0.009917906,0.239139687,Broken
0.000282607,0.009424768,0.404887202,Broken
-0.000520346,0.013936256,1.279997043,Broken
-0.000837503,0.007168234,0.545974477,Broken
-0.001011131,0.009353542,0.403630595,Broken
-0.001092338,0.009542516,0.361013591,Broken
0.000314026,0.009449958,0.413012127,Broken
0.001716291,0.00935648,0.424017645,Broken
0.001596321,0.008623886,0.254324618,Broken
0.001137395,0.009083475,0.4627071,Broken
-0.000819934,0.009966436,0.473878226,Broken
-0.000948114,0.009522763,0.548735962,Broken
-0.000606456,0.009998173,0.532924571,Broken
-0.000285926,0.009233718,0.523485065,Broken
-0.000545498,0.009073729,0.321035879,Broken
-0.001358736,0.009459096,0.409388968,Broken
-0.001892058,0.009077524,0.473744235,Broken
-0.000206168,0.008821971,0.545519848,Broken
0.002296191,0.009062693,0.475709791,Broken
0.001688676,0.008295657,0.45679029,Broken
0.000213177,0.009085668,0.865385114,Broken
-0.001440987,0.009361848,0.568216853,Broken
-0.000862592,0.009254116,0.721925757,Broken
-0.001382576,0.009404703,0.771589765,Broken
-0.000794042,0.008733773,0.721665007,Broken
-0.001894904,0.009182892,0.540234661,Broken
-0.001450527,0.009181178,0.506939451,Broken
0.000318555,0.009206101,0.700762021,Broken
-0.00080439,0.008748782,0.657024498,Broken
-0.001868082,0.00880127,0.748199288,Broken
-0.002297925,0.009213195,0.698456354,Broken
-0.002074525,0.009068876,0.584551282,Broken
-0.000957273,0.009189743,0.783310719,Broken
-0.003079774,0.008723372,0.745511711,Broken
-0.002260167,0.008994495,1.003588213,Broken
-0.002409082,0.009485934,0.988648532,Broken
-0.001136226,0.009353767,0.769118852,Broken
-0.000670658,0.009623268,0.598632303,Broken
-0.000535181,0.009398811,0.464479982,Broken
-0.000978633,0.009602625,0.601045619,Broken
-0.001412133,0.00938949,0.53470737,Broken
-0.000507598,0.00890087,0.620520742,Broken
-0.000770061,0.009142335,0.590520772,Broken
0.000336613,0.009065669,0.560215065,Broken
-0.000112274,0.009226872,0.624000219,Broken
-0.000570855,0.009039447,0.75132505,Broken
-0.001507515,0.009296082,0.879934364,Broken
-0.000636812,0.00988941,0.744136073,Broken
-0.000744016,0.01002349,0.678611017,Broken
-0.001660001,0.010647634,0.723363713,Broken
0.000129596,0.001166315,2.805040112,Healthy
-9.81212E-05,0.002216803,1.558294593,Healthy
0.000439494,0.00208715,1.360346552,Healthy
0.000201139,0.00174562,1.766489747,Healthy
